x,y,z
2.5,231.5,1.349858807576
2,231,1.82211880039051
2,231,2.45960311115695
2,231,3.32011692273655
1.5,234.5,1.349858807576
1.5,234.5,1.82211880039051
1.5,234.5,2.45960311115695
1.5,234.5,3.32011692273655
1,237,1.349858807576
1,239,1.349858807576
1,241,1.349858807576
1,243,1.349858807576
1,245,1.349858807576
1.5,247.5,1.349858807576
1.5,247.5,1.82211880039051
1.5,247.5,2.45960311115695
1.5,247.5,3.32011692273655
1,250,1.349858807576
1.5,252.5,1.349858807576
1.5,252.5,1.82211880039051
1.5,252.5,2.45960311115695
1.5,252.5,3.32011692273655
1,255,1.349858807576
1,257,1.349858807576
1,259,1.349858807576
1,261,1.349858807576
1,263,1.349858807576
1,265,1.349858807576
1.5,267.5,1.349858807576
1.5,267.5,1.82211880039051
1.5,267.5,2.45960311115695
1.5,267.5,3.32011692273655
1.5,270.5,1.349858807576
2.5,270.5,1.349858807576
1.5,271.5,1.349858807576
2.5,271.5,1.349858807576
2,271,1.82211880039051
2,271,2.45960311115695
2,271,3.32011692273655
1,274,1.349858807576
1.5,276.5,1.349858807576
1.5,276.5,1.82211880039051
1.5,276.5,2.45960311115695
1.5,276.5,3.32011692273655
1,279,1.349858807576
1,281,1.349858807576
1,283,1.349858807576
1,285,1.349858807576
1,287,1.349858807576
1,289,1.349858807576
1,291,1.349858807576
1,293,1.349858807576
1.5,295.5,1.349858807576
1.5,295.5,1.82211880039051
1.5,295.5,2.45960311115695
1.5,295.5,3.32011692273655
1,298,1.349858807576
1,300,1.349858807576
1,302,1.349858807576
1,304,1.349858807576
1,306,1.349858807576
1,308,1.349858807576
1,310,1.349858807576
1,312,1.349858807576
1,314,1.349858807576
1,316,1.349858807576
1,318,1.349858807576
1,320,1.349858807576
1.5,322.5,1.349858807576
1.5,322.5,1.82211880039051
1.5,322.5,2.45960311115695
1.5,322.5,3.32011692273655
1,325,1.349858807576
1.5,327.5,1.349858807576
1.5,327.5,1.82211880039051
1.5,327.5,2.45960311115695
1.5,327.5,3.32011692273655
1,330,1.349858807576
1,332,1.349858807576
1.5,334.5,1.349858807576
1.5,334.5,1.82211880039051
1.5,334.5,2.45960311115695
1.5,334.5,3.32011692273655
1.5,337.5,1.349858807576
2.5,337.5,1.349858807576
3.5,337.5,1.349858807576
1.5,338.5,1.349858807576
2.5,338.5,1.349858807576
3.5,338.5,1.349858807576
1.5,339.5,1.349858807576
2.5,339.5,1.349858807576
3.5,339.5,1.349858807576
2,338,1.82211880039051
3,338,1.82211880039051
2,339,1.82211880039051
3,339,1.82211880039051
2,338,2.45960311115695
3,338,2.45960311115695
2,339,2.45960311115695
3,339,2.45960311115695
2.5,338.5,3.32011692273655
2.5,338.5,4.48168907033806
2.5,338.5,6.04964746441295
1.5,342.5,1.349858807576
1.5,342.5,1.82211880039051
1.5,342.5,2.45960311115695
1.5,342.5,3.32011692273655
1.5,345.5,1.349858807576
2.5,345.5,1.349858807576
1.5,346.5,1.349858807576
2.5,346.5,1.349858807576
2,346,1.82211880039051
2,346,2.45960311115695
2,346,3.32011692273655
2,346,4.48168907033806
1.5,349.5,1.349858807576
1.5,349.5,1.82211880039051
1.5,349.5,2.45960311115695
1.5,349.5,3.32011692273655
1.5,352.5,1.349858807576
1.5,352.5,1.82211880039051
1.5,352.5,2.45960311115695
1.5,352.5,3.32011692273655
1,355,1.349858807576
1,357,1.349858807576
1.5,359.5,1.349858807576
1.5,359.5,1.82211880039051
1.5,359.5,2.45960311115695
1.5,359.5,3.32011692273655
1,362,1.349858807576
1,364,1.349858807576
1,366,1.349858807576
1,368,1.349858807576
1,370,1.349858807576
1,372,1.349858807576
1.5,374.5,1.349858807576
1.5,374.5,1.82211880039051
1.5,374.5,2.45960311115695
1.5,374.5,3.32011692273655
1,377,1.349858807576
1,379,1.349858807576
1.5,381.5,1.349858807576
1.5,381.5,1.82211880039051
1.5,381.5,2.45960311115695
1.5,381.5,3.32011692273655
1,384,1.349858807576
1.5,386.5,1.349858807576
1.5,386.5,1.82211880039051
1.5,386.5,2.45960311115695
1.5,386.5,3.32011692273655
1,389,1.349858807576
1,391,1.349858807576
1.5,393.5,1.349858807576
2.5,393.5,1.349858807576
1.5,394.5,1.349858807576
2.5,394.5,1.349858807576
2,394,1.82211880039051
2,394,2.45960311115695
2,394,3.32011692273655
1,397,1.349858807576
1,399,1.349858807576
1.5,401.5,1.349858807576
1.5,401.5,1.82211880039051
1.5,401.5,2.45960311115695
1.5,401.5,3.32011692273655
1,404,1.349858807576
1,406,1.349858807576
1,408,1.349858807576
1.5,410.5,1.349858807576
2.5,410.5,1.349858807576
1.5,411.5,1.349858807576
2.5,411.5,1.349858807576
2,411,1.82211880039051
2,411,2.45960311115695
2,411,3.32011692273655
1.5,414.5,1.349858807576
1.5,414.5,1.82211880039051
1.5,414.5,2.45960311115695
1.5,414.5,3.32011692273655
1,417,1.349858807576
1,419,1.349858807576
1.5,421.5,1.349858807576
1.5,421.5,1.82211880039051
1.5,421.5,2.45960311115695
1.5,421.5,3.32011692273655
1,424,1.349858807576
1,426,1.349858807576
1,428,1.349858807576
1.5,430.5,1.349858807576
2.5,430.5,1.349858807576
1.5,431.5,1.349858807576
